CODE,COMPANY NAME,STATUS,LAST PRICE,OUTSTANDING SHARES,MARKET CAPITALIZATION,SECTOR,SUBSECTOR,FISCAL YEAR,CASH AND EQUIVALENTS,CURRENT ASSETS,FIXED ASSETS,LONG-TERM INVESTMENTS,TOTAL ASSETS,CURRENT DEBT,CURRENT LIABILITIES,LONG-TERM DEBT,TOTAL LIABILITIES,EQUITY ATTRIBUTABLE TO PARENT,TOTAL EQUITY,REVENUE,OPERATING INCOME,INCOME ON EQUITY INVESTMENTS,NET INCOME ATTRIBUTABLE TO PARENT,TOTAL NET INCOME,DEPRECIATION AND AMORTIZATION,CASH FLOW FROM OPERATING ACTIVITIES,CAPITAL EXPENDITURES,CASH FLOW FROM INVESTING ACTIVITIES,DEBT ISSUED,DEBT REPAID,STOCK BUYBACK,TOTAL DIVIDENDS PAID,CASH FLOW FROM FINANCING ACTIVITIES
CPG,"Century Properties Group, Inc.",O,0.53,"11,599,600,690","6,147,788,366",Property,Property,January-December,"3,793,000,000",,"2,563,000,000","13,040,000,000","54,752,000,000","9,907,000,000",,"11,867,000,000","35,458,000,000","17,354,000,000","19,293,000,000","13,580,000,000","1,795,000,000","12,000,000","1,499,000,000","1,643,000,000","25,451,353","970,368,900","658,728,300","-1,496,388,200","9,219,831,418","-6,759,827,473",,"-137,919,300","2,573,759,500"
CPM,Century Peak Holdings Corporation,O,3.11,"2,820,330,450","8,771,227,700",Mining and Oil,Mining,January-December,"21,000,000","439,000,000","890,000,000","834,000,000","3,897,000,000",,"1,297,000,000",,"1,313,000,000","2,595,000,000","2,584,000,000","111,472,100","-73,950,700",,"-72,754,000","-74,980,100","14,800,000","21,500,000",0,"-116,000,000","144,300,000",,,,"144,300,000"
CPV-AB,Cebu Property Ventures and Development Corporation,S,6.9,"940,350,000","6,488,415,000",Property,Property,January-December,"23,000,000","1,136,900,000","269,000,000","3,305,000,000","4,973,000,000","60,000,000","2,003,100,000","1,375,000,000","3,767,000,000","1,206,000,000","1,206,000,000","852,470,100","317,384,700","-1,561,100","277,104,900","277,104,900","226,600,000","497,198,800","-859,100","-433,339,500","336,200,000","-401,795,000",,"-20,000","-65,615,000"
CROWN,Crown Asia Chemicals Corporation,O,2.17,"612,120,000","1,328,300,400",Industrial,Chemicals,January-December,"33,000,000","892,000,000","425,000,000",,"1,382,000,000","12,000,000","226,000,000","4,000,000","258,000,000","1,124,000,000","1,124,000,000","1,374,645,200","212,936,400",,"146,056,000","146,056,000","35,067,900","66,196,700","-36,357,003","-36,550,800","22,113,429","-8,114,723","-26,660,000","-56,376,200","-77,737,400"
CSB,"Citystate Savings Bank, Inc.",O,8.49,"100,000,000","849,000,000",Financials,Banks,January-December,,,"178,000,000","384,000,000","4,280,000,000","37,000,000",,,"3,622,000,000","658,000,000","658,000,000","235,412,900","-50,278,500",,"-54,407,900","-54,407,900","8,500,000","-140,976,900","-38,584,000","-352,553,500",,,,,"-218,046,400"
CYBR,Cyber Bay Corporation,O,0.39,"6,806,878,853","2,654,682,753",Property,Property,January-December,0,,,,"1,097,000,000","2,088,000,000",,,"2,128,000,000","-1,031,000,000","-1,031,000,000","1,000","-1,748,000",,"1,105,000","1,105,000",,"-4,637,000","-200,000","-196,000","2,800,000",,,,"2,844,000"
DAVIN,"Da Vinci Capital Holdings, Inc.",O,5.46,"1,124,999,969","6,142,499,831",Industrial,"Construction, Infra. & Allied Services",January-December,,,,,"23,892,000",,"8,560,000",,"8,560,000","15,332,000","15,332,000",,"1,011,800",,"-1,011,800","-1,011,800",,"-900,000",,,"900,000",,,,"900,000"
DD,Doubledragon Properties Corp.,O,18,"2,367,528,600","42,615,514,800",Property,Property,January-December,"3,117,000,000",,"1,032,000,000","73,125,000,000","94,436,000,000","10,805,000,000",,"28,577,000,000","59,162,000,000","24,107,000,000","35,274,000,000","5,477,000,000","99,000,000",,"6,089,000,000","8,998,000,000","49,300,000","2,368,253,400","3,700,173,100","-5,023,587,200","6,560,100,000","-6,098,528,900",0,"-952,131,800","3,054,237,000"
DELM,Del Monte Pacific Limited,O,5,"1,943,960,024","9,719,800,120",Industrial,"Food, Beverage & Tobacco",May-April,"1,815,019,200","66,134,762,100","38,039,777,400","1,172,199,900","150,760,032,300","51,652,421,400","69,311,045,700","50,215,531,200","126,106,021,500","22,952,430,300","24,654,010,800","98,008,121,425","5,603,966,312","-89,801,856","-3,465,522,035","-3,975,773,089","7,843,197,093","6,462,943,055","-6,756,673,662","-6,374,438,181","13,114,878,000","-26,258,509,260",,"-1,540,524,015","153,864,471"
DFNN,"DFNN, Inc.",O,5.2,"324,620,008","1,688,024,042",Services,Information Technology,January-December,"491,000,000","1,553,000,000","84,000,000","94,000,000","2,139,000,000","36,000,000","781,000,000","7,000,000","945,000,000","1,086,000,000","1,194,000,000","1,103,189,700","1,225,100","-5,878,300","-14,311,700","-1,418,800","83,168,300","17,712,400","-41,979,800","-38,517,000","-1,100,000","-2,469,288","-9,704,600","-10,000,000","-17,053,400"
DIZ,"Dizon Copper-Silver Mines, Inc.",O,7.18,"79,087,487","567,848,157",Mining and Oil,Mining,January-December,"178,500",,,"30,666,000","30,894,800",,,,"39,933,400","-9,038,600","-9,038,600",500,"-4,273,700",,"-4,272,700","-4,272,700",,"-1,939,600",,,"300,000",,,,"1,905,000"
DMC,"DMCI Holdings, Inc.",O,6.2,"13,277,470,000","82,320,314,000",Holding Firms,Holding Firms,January-December,"19,391,000,000","111,652,000,000","59,681,000,000","15,207,000,000","197,597,000,000","21,638,000,000","54,566,000,000","28,538,000,000","96,212,000,000","81,478,000,000","101,386,000,000","88,871,000,000","17,294,000,000","1,974,000,000","12,531,000,000","17,721,000,000","9,762,000,000","18,212,000,000","-13,929,000,000","-10,900,000,000","10,880,000,000","-6,544,000,000","-7,000,000","-12,746,000,000","-6,988,000,000"
DMW,"D.M. WENCESLAO & ASSOCIATES, INCORPORATED",O,9.27,"3,395,864,100","31,479,660,207",Property,Property,January-December,"8,748,000,000","15,054,000,000","236,000,000","12,753,000,000","32,493,000,000","1,444,000,000","10,139,000,000","437,000,000","12,080,000,000","19,732,000,000","20,413,000,000","2,317,017,300","1,289,901,400","13,928,600","2,071,578,600","2,083,706,100","186,000,000","3,257,000,000","-146,000,000","-2,090,000,000","1,005,400,000","-1,232,100,000",,"-120,000,000","-380,000,000"
DNA,Philab Holdings Corp.,S,2.86,"2,062,276,060","5,898,109,532","Small, Medium & Emerging Board","Small, Medium & Emerging Board",January-December,"6,000,000","1,056,000,000","56,000,000",,"1,932,000,000","982,000,000","1,786,000,000","149,000,000","1,987,000,000","-46,000,000","-56,000,000","38,801,400","-62,113,600",,"-205,972,000","-208,616,600","2,876,400","5,519,300","-1,100,000","14,455,500",,,,,"-18,991,000"
DNL,"D&L Industries, Inc.",O,8.88,"7,142,857,990","63,428,578,951",Industrial,"Food, Beverage & Tobacco",January-December,"2,544,000,000","12,724,000,000","4,041,000,000","161,000,000","22,401,000,000","2,400,000,000","4,823,000,000","1,000,000,000","5,848,000,000","16,552,000,000","16,552,000,000","22,926,000,000","3,706,000,000",,"2,815,000,000","2,815,000,000","611,000,000","4,527,000,000","-1,961,000,000","-2,614,000,000","3,590,000,000","-2,540,000,000",,"-2,161,000,000","-1,811,000,000"
DWC,Discovery World Corporation ,O,2,"626,000,000","1,252,000,000",Services,Hotel & Leisure,January-December,"102,000,000","317,000,000","3,172,000,000","655,000,000","4,672,000,000","1,312,000,000","2,082,000,000","1,392,000,000","3,564,000,000","1,108,000,000","1,108,000,000","859,240,800","-21,611,600",,"-44,562,800","-44,562,800","159,308,100","8,425,000","-489,255,300","-628,804,300","1,387,300,000","-99,804,300",,,"633,945,300"
EAGLE,Eagle Cement Corporation,O,13.6,"5,000,000,005","68,000,000,068",Industrial,"Construction, Infra. & Allied Services",January-December,"17,566,000,000","20,344,000,000","24,505,000,000","2,587,000,000","47,796,000,000","1,071,000,000","4,524,000,000","6,560,000,000","11,742,000,000","36,054,000,000","36,054,000,000","19,629,719,726","6,571,292,772",,"6,022,447,543","6,022,447,543","653,932,469","4,240,928,000","-1,388,497,234","-1,882,736,684",,"-376,659,369",,"-135,000,000","-1,004,340,631"
ECP,"EasyCall Communications Philippines, Inc.",O,8.8,"150,000,000","1,320,000,000",Services,Other Services,January-December,"22,138,800","68,725,500","51,687,900","121,965,600","243,132,100",,"45,795,900",,"47,715,600","195,416,500","195,416,500","68,446,800","3,416,500","47,337,000","48,310,500","48,616,200","4,535,500","86,708,200","-34,772,000","-83,866,000",,,,,"-4,096,200"
EDC,Energy Development Corporation,O,6.87,"18,737,010,000","128,723,258,700",Industrial,"Electricity, Energy, Power & Water",January-December,"22,176,800,000","35,013,400,000","93,559,400,000","395,800,000","142,807,500,000","14,500,000","13,586,300,000","60,336,400,000","77,031,200,000","63,686,500,000","65,776,300,000","36,408,800,000","11,725,000,000",,"7,817,900,000","7,965,700,000","6,247,500,000","17,235,200,000","-4,722,400,000","-3,345,000,000","4,720,900,000","-9,218,500,000",,"-2,630,700,000","-8,335,400,000"
EEI,EEI Corporation,O,9.09,"1,036,281,485","9,419,798,699",Industrial,"Construction, Infra. & Allied Services",January-December,"939,000,000","16,350,000,000","5,347,000,000","3,506,000,000","26,579,000,000","9,157,000,000","16,340,000,000","1,631,000,000","18,289,000,000","8,253,000,000","8,290,000,000","23,132,000,000","1,637,000,000","-114,000,000","644,000,000","643,000,000","672,504,300","-1,678,546,500","-474,123,300","-408,169,400","3,078,194,200","-848,571,800",,"-207,256,000","1,967,366,400"
EG,"IP E-Game Ventures, Inc.",S,0.0094,"30,000,000,000","282,000,000",Services,Casinos & Gaming,January-December,"197,000,000","727,000,000","23,000,000","2,533,000,000","3,384,000,000","115,000,000","462,000,000",,"466,000,000","2,891,000,000","2,919,000,000","168,706,600","-1,859,900","-12,048,300","-7,874,900","-8,935,600","2,315,200","55,396,900","-4,464,700","-33,825,900","33,600,000","-85,800,000",,,"-13,724,100"
EIB-AB,"Export and Industry Bank, Inc.",S,,"18,937,810,160","1,431,689,353",Financials,Banks,January-December,,"3,646,100,000",,,"27,664,500,000",,"17,493,300,000",,"26,990,300,000","674,100,000","674,100,000","570,000,000",,,"-968,400,000","-968,400,000","162,533,333","2,481,733,333",0,"268,133,333",,,,,"-2,094,266,667"
ELI,"Empire East Land Holdings, Inc.",O,0.41,"14,676,199,167","6,017,241,658",Property,Property,January-December,"1,156,000,000","39,230,000,000","247,000,000","2,214,000,000","44,064,000,000","736,000,000","13,260,000,000","867,000,000","16,675,000,000","25,134,000,000","27,390,000,000","4,264,000,000","851,000,000","1,000,000","507,000,000","503,000,000","63,044,700","-186,977,800","-134,212,300","-87,285,200","1,765,700,000","-827,700,000",,,"285,224,600"
EMP,Emperador Inc.,O,7.23,"15,754,372,576","113,904,113,724",Industrial,"Food, Beverage & Tobacco",January-December,"6,171,000,000","58,540,000,000","27,035,000,000","3,315,000,000","120,066,000,000","5,701,000,000","20,241,000,000","31,974,000,000","54,802,000,000","64,456,000,000","65,264,000,000","49,751,000,000","8,991,000,000","156,000,000","6,796,000,000","6,885,000,000","1,246,000,000","2,741,000,000","-2,406,000,000","-2,309,000,000","1,761,000,000","-1,144,400,000","-1,151,000,000",0,"-1,234,000,000"
EURO,"Euro-Med Laboratories Phil., Inc.",O,1.69,"4,112,140,540","6,949,517,513",Industrial,Chemicals,January-December,"551,000,000","4,184,000,000","2,806,000,000","1,000,000,000","8,578,000,000","2,205,000,000","2,550,000,000","695,000,000","3,415,000,000","5,163,000,000","5,163,000,000","3,789,333,333","501,333,333",,"240,000,000","240,000,000","97,779,200","-118,231,733","-180,245,200","-18,169,467","2,760,100,000","-2,261,100,000",,"-205,600,000","293,500,000"
EVER,"Ever-Gotesco Resources and Holdings, Inc.",O,0.109,"5,000,000,000","545,000,000",Property,Property,January-December,"1,000,000",,,,"2,353,000,000","50,000,000",,,"1,344,000,000","1,009,000,000","1,009,000,000",,"-18,955,600",,"-748,503,600","-748,503,600",,"27,700",,,,,,,
EW,East West Banking Corporation,O,12.1,"2,249,975,411","27,224,702,473",Financials,Banks,January-December,,,"5,444,000,000","68,670,000,000","387,295,000,000","27,889,000,000",,"9,457,000,000","339,973,000,000","47,322,000,000","47,322,000,000","28,307,000,000","7,848,000,000","-342,000,000","5,899,000,000","5,899,000,000","664,300,000","10,828,000,000","-481,000,000","-67,887,000,000","607,040,600,000","-600,020,700,000",,,"41,793,000,000"
FAF,First Abacus Financial Holdings Corporation,O,0.65,"1,193,200,000","775,580,000",Financials,Other Financial Institutions,January-December,"138,000,000",,"43,000,000","2,301,000,000","5,375,000,000","4,409,000,000",,,"4,864,000,000","511,000,000","511,000,000","224,554,700","-416,921,600",,"-472,713,500","-466,574,100","11,151,645","67,746,600","-7,329,600","-187,773,200","608,515,735","-454,500,000",,,"363,864,800"
FB,"San Miguel Food and Beverage, Inc.",O,78,"5,909,220,090","460,919,167,020",Industrial,"Food, Beverage & Tobacco",January-December,"23,441,000,000","92,419,000,000","78,618,000,000","3,027,000,000","239,507,000,000","23,380,000,000","72,832,000,000","26,216,000,000","100,564,000,000","92,407,000,000","138,943,000,000","306,123,000,000","45,510,000,000","-210,000,000","17,167,000,000","30,526,000,000","10,248,000,000","39,601,000,000","-26,002,000,000","-25,933,000,000","85,482,000,000","-53,933,000,000",0,"-18,596,000,000","-25,631,000,000"
FDC,Filinvest Development Corporation,O,13.1,"8,648,462,987","113,294,865,130",Holding Firms,Holding Firms,January-December,"59,219,000,000","416,309,000,000","51,459,000,000","131,664,000,000","623,065,000,000","35,049,000,000","82,207,000,000","400,673,000,000","495,388,000,000","96,981,000,000","127,677,000,000","71,688,000,000","9,454,000,000","31,500,000","10,817,000,000","14,712,000,000","4,615,000,000","18,328,000,000","-13,314,000,000","-32,647,000,000","8,711,400,000","-6,529,000,000",,"-1,669,000,000","10,649,000,000"
FERRO,"Ferronoux Holdings, Inc.",O,4.15,"261,824,002","1,086,569,608",Financials,Other Financial Institutions,January-December,"79,900",,,,"137,327,400",,,,"3,221,300","134,106,100","134,106,100","6,653,700","440,900",,"433,500","433,500",,"5,800",,,,,,,
FEU,"Far Eastern University, Incorporated",O,890,"16,477,023","14,664,550,470",Services,Education,June-May,"3,005,000,000","4,446,000,000","9,096,000,000","916,000,000","14,913,000,000","769,000,000","2,817,000,000","1,756,000,000","4,652,000,000","7,594,000,000","10,262,000,000","3,569,000,000","885,000,000",0,"793,000,000","859,000,000","405,251,400","981,627,100","-1,288,702,700","-497,619,300",,"-152,100,000","-1,144,500","-294,846,900","-29,562,600"
FFI,"Filipino Fund, Inc.",O,6.81,"50,167,397","341,639,974",Financials,Other Financial Institutions,January-December,,,,,"237,859,071",,,,"1,612,725","236,246,346","236,246,346","2,760,716",,,"-2,451,622","-2,451,622",0,"-3,583,305",0,0,,,,,0
FGEN,First Gen Corporation,O,21.2,"3,606,784,505","76,463,831,506",Industrial,"Electricity, Energy, Power & Water",January-December,"37,544,000,000","63,828,000,000","130,480,000,000","527,000,000","264,140,000,000","16,753,000,000","38,510,000,000","88,213,000,000","133,892,000,000","105,939,000,000","130,248,000,000","111,593,000,000","28,912,000,000",,"15,208,000,000","21,349,000,000","11,517,000,000","37,013,000,000","-6,288,000,000","-5,859,000,000","4,721,000,000","-23,848,000,000","-14,944,000,000","-4,087,000,000","-36,266,000,000"
FJP-AB,F & J Prince Holdings Corporation,O,3.685,"481,827,653","1,775,534,901",Holding Firms,Holding Firms,January-December,"878,000,000",,"8,000,000","765,000,000","1,992,000,000",,,,"36,000,000","1,881,000,000","1,956,000,000","82,553,500","38,003,800","-14,425,000","14,787,300","14,933,000","7,971,196","85,786,900","-4,000","20,951,200",,,"-830,300","-27,810,600","-31,024,434"
FLI,"Filinvest Land, Inc.",O,1.52,"24,249,759,506","36,859,634,449",Property,Property,January-December,"4,830,000,000",,"9,713,000,000","57,188,000,000","173,644,000,000","5,442,000,000",,"63,553,000,000","102,850,000,000","70,160,000,000","70,794,000,000","23,209,000,000","6,783,000,000","391,000,000","6,252,000,000","6,460,000,000","463,200,000","2,865,000,000","-5,982,000,000","-5,780,000,000","300,000,000","-1,145,300,000",,"-1,501,000,000","861,000,000"
FMETF,"First Metro Philippine Equity Exchange Traded Fund, Inc.",O,114.4,"14,351,260","1,641,784,144",ETF-Equity,ETF-Equity,January-December,,,,,"1,293,494,791",,,,"5,631,772","1,287,863,019","1,287,863,019","314,629,764",,,"306,415,304","306,415,304",,"-20,778,060",,,,,,,"-3,385,360"
FNI,"Global Ferronickel Holdings, Inc.",O,1.55,"5,474,209,829","8,485,025,235",Mining and Oil,Mining,January-December,"717,000,000","4,870,000,000","4,168,000,000","493,000,000","10,445,000,000","118,000,000","1,531,000,000","695,000,000","3,242,000,000","7,165,000,000","7,203,000,000","5,134,000,000","1,294,000,000",,"726,000,000","719,000,000","376,000,000","686,000,000","-939,000,000","-1,553,000,000","1,399,200,000","-7,000,000","-94,000,000",,"202,000,000"
FOOD,"Alliance Select Foods International, Inc.",O,0.59,"2,499,712,463","1,474,830,353",Industrial,"Food, Beverage & Tobacco",January-December,"272,000,000","2,271,000,000","806,000,000",,"4,147,000,000","1,820,000,000","2,240,000,000","5,000,000","2,265,000,000","2,000,000,000","1,882,000,000","4,692,000,000","141,000,000",0,"-35,000,000","-35,000,000","50,081,400","-365,561,500","-37,410,300","-36,125,500","807,352,180","-897,137,333",,,"-67,064,300"
FPH,First Philippine Holdings Corporation,O,66.4,"508,962,804","33,795,130,186",Industrial,"Electricity, Energy, Power & Water",January-December,"44,786,000,000","115,325,000,000","135,988,000,000","40,959,000,000","369,781,000,000","25,144,000,000","64,250,000,000","112,204,000,000","192,194,000,000","103,017,000,000","177,587,000,000","133,968,000,000","31,914,000,000","287,000,000","12,830,000,000","24,694,000,000","12,546,000,000","50,177,000,000","-9,095,000,000","-14,651,000,000","5,427,000,000","-22,211,000,000","-14,477,000,000","-1,635,000,000","-38,031,000,000"
FPI,"Forum Pacific, Inc.",O,0.209,"1,838,943,246","384,339,138",Holding Firms,Holding Firms,January-December,"376,600","479,100",,"86,543,100","337,692,600",,"22,600",,"4,338,100","333,354,500","333,354,500",,"1,961,400",,"-2,022,500","-2,022,500",,"-1,881,683",,"2,062,719",,,,,
FRUIT,"Fruitas Holdings, Inc.",O,1.83,2133680000,3904634400,Industrial,"Food, Beverage & Tobacco",January-December,,,,,,,,,,,,,,,,,,,,,,,,,
FYN-AB,Filsyn Corporation,S,,"206,246,181","7,938,415,404",Industrial,Other Industrials,January-December,"48,000,000","63,000,000",,"25,000,000","1,012,000,000","1,088,000,000","1,569,000,000",,"1,647,000,000","-635,000,000","-635,000,000","39,932,000","17,697,333",,"-1,018,667","-1,018,667",,"91,624,000",,,,,,,
GEO,"GEOGRACE Resources Philippines, Inc.",O,0.212,"3,500,000,000","742,000,000",Mining and Oil,Mining,January-December,"27,111,300","27,111,300",,,"741,528,200",,"12,068,400",,"12,068,400","729,647,500","729,459,800",,"27,177,100",-400,"-26,540,700","-26,975,800",,"-882,155",,"-2,200,399","2,600,000",,,,"2,600,000"
GERI,"Global-Estate Resorts, Inc.",O,1.11,"10,986,000,000","12,194,460,000",Property,Property,January-December,"1,925,000,000",,"834,000,000","11,805,000,000","48,002,000,000","1,695,000,000",,"3,024,000,000","15,282,000,000","27,205,000,000","32,720,000,000","7,939,000,000","2,567,000,000",0,"1,556,000,000","1,994,000,000","112,100,000","1,271,220,000","-66,616,800","-479,529,300","445,000,000","-1,385,400,000",,"-20,100,000","-1,102,407,000"
GLO,"Globe Telecom, Inc.",O,2004,"133,208,407","266,949,647,628",Services,Telecommunications,January-December,"11,630,000,000","62,336,000,000","181,707,000,000","35,033,000,000","300,683,000,000","13,994,000,000","87,577,000,000","121,282,000,000","219,432,000,000","81,226,000,000","81,251,000,000","162,819,000,000","43,950,000,000","-2,213,000,000","21,170,000,000","21,153,000,000","33,240,000,000","60,315,000,000","-42,689,000,000","-45,400,000,000","15,656,000,000","-16,854,000,000",0,"-12,676,000,000","-14,784,000,000"
GMA7,"GMA Network, Inc.",O,5.31,"3,361,047,000","17,847,159,570",Services,Media,January-December,"2,768,000,000","10,551,000,000","5,570,000,000","446,000,000","17,186,000,000","1,218,000,000","4,911,000,000",,"7,605,000,000","9,514,000,000","9,581,000,000","16,312,000,000","3,824,000,000","6,000,000","2,523,000,000","2,540,000,000","568,000,000","2,574,000,000","-734,000,000","-619,000,000","500,000,000","-1,200,000,000",,"-2,175,000,000","-2,157,000,000"
GPH,Grand Plaza Hotel Corporation,O,13.34,"53,717,369","716,589,702",Services,Hotel & Leisure,January-December,"283,000,000","418,000,000","526,000,000","49,000,000","1,097,000,000","14,000,000","191,000,000","56,000,000","247,000,000","850,000,000","850,000,000","410,106,800","-35,428,500","1,461,700","-34,719,500","-34,719,500","46,316,400","18,190,000","-84,815,800","-85,014,700",0,"-2,539,665",,,"56,224,000"
GREEN,Greenergy Holdings Incorporated,O,1.99,"1,800,778,572","3,583,549,358",Industrial,Electrical Components & Equipment,January-December,"1,000,000","761,000,000","427,000,000","2,923,000,000","4,208,000,000",,"324,000,000",,"324,000,000","3,764,000,000","3,884,000,000","5,121,700","-59,395,700","-5,937,700","2,571,802,700","2,556,211,600","22,246,200","-37,830,700","-321,493,900","-72,886,300","77,900,000","500,000",,,"91,738,900"
GSMI,"Ginebra San Miguel,  Inc.",O,37.25,"280,720,222","10,456,828,270",Industrial,"Food, Beverage & Tobacco",January-December,"477,000,000","7,906,000,000","4,619,000,000","105,000,000","13,525,000,000","578,000,000","5,425,000,000","881,000,000","6,549,000,000","6,975,000,000","6,975,000,000","28,349,000,000","2,877,000,000","-210,000,000","1,589,000,000","1,589,000,000","709,000,000","3,285,000,000","-284,000,000","-269,000,000","10,361,100,000","-6,273,000,000",,"-605,000,000","-3,081,000,000"
GTCAP,"GT Capital Holdings, Inc.",O,791,"215,284,587","170,290,108,317",Holding Firms,Holding Firms,January-December,"16,392,000,000",,"12,817,000,000","27,329,000,000","363,906,000,000","24,532,000,000",,"105,602,000,000","178,032,000,000","174,654,000,000","185,874,000,000","204,817,000,000","11,311,000,000","12,515,000,000","14,417,000,000","19,016,000,000","1,089,000,000","6,711,000,000","-3,282,000,000","-2,780,000,000","5,808,000,000","-5,332,000,000","-1,000,000","-3,638,000,000","344,000,000"
HI,"House of Investments, Inc.",O,5.41,"776,465,281","4,200,677,170",Holding Firms,Holding Firms,January-December,"2,812,000,000","20,818,000,000","18,862,000,000","7,079,000,000","49,472,000,000","11,302,000,000","20,931,000,000","3,912,000,000","26,226,000,000","14,354,000,000","23,246,000,000","33,663,000,000","2,109,000,000","279,000,000","716,000,000","1,121,000,000","1,036,000,000","605,000,000","-4,141,000,000","-2,954,000,000","2,751,900,000","-1,704,000,000","-6,000,000","-142,000,000","2,997,000,000"
HLCM,"Holcim Philippines, Inc.",O,12.9,"6,452,099,144","83,232,078,958",Industrial,"Construction, Infra. & Allied Services",January-December,"980,000,000","9,385,000,000","22,007,000,000","4,332,000,000","43,751,000,000","4,276,000,000","14,628,000,000","2,255,000,000","17,316,000,000","26,421,000,000","26,435,000,000","32,022,000,000","4,143,000,000","122,900,000","2,681,000,000","2,683,000,000","1,548,000,000","7,652,000,000","-2,612,000,000","-5,008,000,000","8,238,900,000","-9,284,000,000",,"-59,000,000","-2,926,000,000"
HOME,AllHome Corp.,O,11.3,"3,750,000,002","42,375,000,023",Services,Retail,January-December,"257,000,000","5,907,000,000","9,359,000,000",,"15,707,000,000","3,816,000,000","5,323,000,000","6,041,000,000","11,525,000,000","4,182,000,000","4,182,000,000","12,512,000,000","1,956,000,000",,"1,248,000,000","1,248,000,000","177,708,400","-464,979,400","-1,051,698,200","-1,051,698,200",,,,,"1,415,384,600"
HOUSE,"8990 Holdings, Inc.",O,14.72,"5,422,343,620","79,816,898,086",Property,Property,January-December,"502,000,000","49,354,000,000","834,000,000","1,509,000,000","68,136,000,000","9,983,000,000","15,248,000,000","20,904,000,000","36,269,000,000","31,867,000,000","31,867,000,000","13,625,000,000","5,587,000,000",,"5,475,000,000","5,475,000,000","89,000,000","-7,062,000,000","353,000,000","-788,000,000","-2,581,200,000","100,000","-1,066,000,000","-1,957,000,000","1,534,000,000"
